Runs,Blower Profile,D1,D2,4b/D1,del r/D1,D nozzle/D1,(B-b)/2_top,E
1,S,152,181,2,0.09,1,6,NA
2,S,160,181,2.75,0.12,1.03,12,NA
3,S,170,181,3.5,0.15,1.07,18,NA
4,S,170,190,2,0.09,1.03,18,NA
5,S,152,190,2.75,0.12,1.07,6,NA
6,S,160,190,3.5,0.15,1,12,NA
7,S,170,200,2,0.12,1.07,12,NA
8,S,152,200,2.75,0.15,1,18,NA
9,S,160,200,3.5,0.09,1.03,6,NA
10,H,152,181,2,0.15,1.03,12,NA
11,H,160,181,2.75,0.09,1.07,18,NA
12,H,170,181,3.5,0.12,1,6,NA
13,H,160,190,2,0.12,1,18,NA
14,H,170,190,2.75,0.15,1.03,6,NA
15,H,152,190,3.5,0.09,1.07,12,NA
16,H,160,200,2,0.15,1.07,6,NA
17,H,170,200,2.75,0.09,1,12,NA
18,H,152,200,3.5,0.12,1.03,18,NA
